feature_names,feature_importance
payement_invoice_status_paid_pay_delay_could_sum_value_2_3,775.0
payement_invoice_status_paid_open_amount_nb_3m,659.0
data_roamstate_nonroaming_duration_value_1_2m_2_3m,527.0
data_weekend_y_duration_value_0_1m_1_2m,411.0
payement_invoice_status_open_open_amount_sum_3m,392.0
payement_invoice_status_paid_pay_delay_could_sum_value_1_2,381.0
voice_termination_type_offnet_duration_value_1_3w_3_4w,379.0
data_weekend_y_duration_value_1_2m_2_3m,362.0
data_roamstate_nonroaming_duration_value_0_1w_1_2w,358.0
payement_invoice_status_paid_pay_delay_could_sum_1m,348.0
payement_invoice_status_paid_pay_delay_could_value_0_1m_1_2m,335.0
payement_invoice_status_paid_pay_delay_could_sum_3m,333.0
payement_invoice_status_paid_pay_delay_should_sum_value_2_3,332.0
payement_invoice_status_open_open_amount_sum_1m,327.0
payement_invoice_status_paid_pay_delay_should_sum_value_1_2,324.0
payement_invoice_status_paid_open_amount_nb_2m,319.0
data_weekend_y_volume_value_1_2m_2_3m,302.0
data_weekend_y_duration_value_1_3w_3_4w,300.0
data_weekend_y_volume_sum_value_2_3,288.0
data_roamstate_nonroaming_volume_value_0_1w_1_2w,284.0
payement_payment_mode_na_open_amount_nb_3m,283.0
payement_invoice_status_paid_pay_delay_could_sum_value_1_3,282.0
voice_workingh_n_duration_nb_3m,282.0
payement_invoice_status_paid_pay_delay_should_sum_1m,281.0
payement_invoice_status_paid_pay_delay_could_value_1_2m_2_3m,277.0
payement_invoice_status_paid_pay_delay_could_sum_2m,276.0
payement_invoice_status_paid_pay_delay_could_value_0_1m_1_3m,275.0
voice_termination_type_onnet_duration_value_1_2m_2_3m,265.0
voice_termination_type_offnet_duration_sum_value_2_3,263.0
data_weekend_y_volume_value_0_1m_1_3m,259.0
complaints_complaints_complaint_type_retention_total_sum_value_0_1,255.0
payement_invoice_status_paid_pay_delay_should_sum_3m,252.0
data_workingh_y_duration_value_1_3w_3_4w,250.0
data_workingh_y_duration_value_1_2m_2_3m,246.0
payement_invoice_status_paid_pay_delay_should_sum_value_0_1,238.0
data_workingh_n_volume_value_0_1w_1_2w,234.0
data_weekend_y_volume_value_0_1w_1_2w,233.0
voice_termination_type_offnet_duration_value_1_2m_2_3m,228.0
data_weekend_y_duration_sum_value_1_2,227.0
payement_invoice_status_open_open_amount_sum_2m,226.0
data_roamstate_nonroaming_volume_value_1_3w_3_4w,224.0
voice_termination_type_offnet_duration_sum_value_0_1w,224.0
voice_termination_type_offnet_duration_sum_value_1_3,222.0
voice_workingh_n_duration_value_0_1w_1_2w,218.0
voice_workingh_n_duration_nb_2m,217.0
voice_termination_type_offnet_duration_value_0_1m_1_3m,216.0
data_workingh_y_volume_value_1_2m_2_3m,216.0
voice_workingh_n_duration_value_1_2m_2_3m,216.0
voice_weekend_n_duration_value_1_2m_2_3m,216.0
complaints_complaints_complaint_status_resolu_total_sum_value_1_2w,211.0
data_roamstate_nonroaming_duration_value_0_1m_1_2m,209.0
voice_call_direction_oc_duration_value_1_2m_2_3m,209.0
payement_invoice_status_open_open_amount_sum_value_1_2,207.0
data_workingh_n_volume_nb_3m,207.0
data_workingh_n_volume_value_1_3w_3_4w,207.0
data_weekend_y_volume_sum_value_3_4w,205.0
data_roamstate_nonroaming_duration_nb_1w,203.0
voice_workingh_n_duration_value_1_3w_3_4w,202.0
data_workingh_y_volume_sum_value_2_3,201.0
voice_destination_type_national_duration_value_1_2m_2_3m,197.0
payement_invoice_status_paid_pay_delay_should_sum_value_1_3,197.0
data_weekend_y_duration_sum_value_3_4w,194.0
data_workingh_y_duration_value_0_1m_1_3m,194.0
voice_termination_type_onnet_duration_value_0_1m_1_2m,194.0
voice_call_direction_oc_duration_value_0_1w_1_2w,191.0
payement_invoice_status_paid_pay_delay_should_sum_2m,187.0
payement_payment_mode_cb_perc_paid_value_0_1m_1_3m,186.0
data_weekend_y_duration_value_0_1w_1_2w,185.0
data_roamstate_nonroaming_volume_value_1_2m_2_3m,184.0
data_workingh_y_volume_sum_value_1_2,184.0
data_weekend_y_duration_value_0_1m_1_3m,181.0
data_workingh_n_volume_value_1_2m_2_3m,176.0
voice_termination_type_onnet_duration_value_0_1m_1_3m,174.0
data_roamstate_nonroaming_duration_value_0_1m_1_3m,172.0
payement_invoice_status_paid_pay_delay_should_value_1_2m_2_3m,172.0
voice_termination_type_onnet_duration_value_1_3w_3_4w,172.0
voice_weekend_n_duration_nb_3m,169.0
payement_payment_mode_cb_perc_paid_sum_3m,168.0
voice_termination_type_offnet_duration_value_0_1w_1_2w,168.0
complaints_complaints_complaint_type_retention_total_sum_value_1_3,167.0
voice_termination_type_offnet_duration_sum_value_1_2,167.0
data_roamstate_nonroaming_volume_sum_value_2_3,165.0
data_weekend_y_volume_value_1_3w_3_4w,165.0
complaints_complaints_complaint_status_resolu_total_nb_3m,164.0
data_weekend_y_volume_sum_value_1_3w,162.0
data_workingh_y_volume_sum_value_0_1w,162.0
data_roamstate_nonroaming_duration_value_1_3w_3_4w,162.0
complaints_complaints_complaint_type_retention_total_value_1_3w_3_4w,161.0
complaints_complaints_complaint_status_resolu_duration_nb_3m,161.0
data_workingh_n_volume_nb_2m,160.0
voice_termination_type_offnet_duration_value_0_1m_1_2m,160.0
payement_invoice_status_open_open_amount_value_1_2m_2_3m,160.0
data_weekend_y_volume_sum_value_1_3,158.0
data_weekend_y_volume_sum_value_0_1w,158.0
data_weekend_y_volume_value_0_1m_1_2m,156.0
payement_payment_mode_na_open_amount_value_0_1m_1_3m,153.0
voice_termination_type_onnet_duration_sum_value_2_3,153.0
data_roamstate_nonroaming_duration_nb_2m,151.0
voice_workingh_n_duration_sum_value_2_3,150.0
data_weekend_y_duration_sum_value_1_3,150.0
voice_termination_type_onnet_duration_sum_value_0_1w,150.0
data_roamstate_nonroaming_volume_sum_value_0_1w,150.0
data_weekend_y_duration_sum_value_2_3,150.0
voice_workingh_n_duration_value_0_1m_1_2m,149.0
gamme_encoded,149.0
data_workingh_y_volume_value_1_3w_3_4w,147.0
voice_destination_type_national_duration_value_0_1w_1_2w,146.0
payement_invoice_status_open_open_amount_nb_2m,143.0
payement_payment_mode_na_open_amount_value_1_2m_2_3m,142.0
payement_invoice_status_open_open_amount_nb_3m,142.0
data_workingh_y_volume_value_0_1m_1_2m,141.0
data_workingh_n_volume_value_0_1m_1_2m,140.0
data_roamstate_nonroaming_volume_sum_value_1_2w,139.0
voice_termination_type_onnet_duration_value_0_1w_1_2w,138.0
data_weekend_y_volume_sum_value_1_2w,135.0
data_roamstate_nonroaming_volume_value_0_1m_1_3m,135.0
data_roamstate_nonroaming_duration_sum_value_1_3,135.0
voice_weekend_n_duration_value_1_3w_3_4w,134.0
data_workingh_y_duration_sum_value_3_4w,134.0
data_workingh_y_volume_value_0_1w_1_2w,133.0
payement_payment_mode_cb_perc_paid_sum_value_2_3,133.0
payement_invoice_status_paid_pay_delay_could_sum_value_0_1,133.0
data_workingh_y_duration_value_0_1m_1_2m,131.0
voice_weekend_n_duration_sum_value_2_3,129.0
voice_termination_type_onnet_duration_sum_value_1_3,128.0
voice_weekend_n_duration_nb_2m,127.0
data_roamstate_nonroaming_duration_nb_2w,127.0
data_roamstate_nonroaming_duration_sum_value_2_3,126.0
data_roamstate_nonroaming_duration_sum_value_0_1w,125.0
data_weekend_y_duration_sum_value_0_1w,124.0
payement_payment_way_internet_perc_paid_value_0_1m_1_3m,123.0
complaints_complaints_weekend_n_duration_nb_3m,123.0
voice_workingh_n_duration_nb_3w,122.0
voice_workingh_n_duration_sum_value_3_4w,122.0
complaints_complaints_complaint_type_retention_total_value_0_1m_1_2m,122.0
voice_weekend_n_duration_value_0_1m_1_3m,122.0
data_workingh_y_duration_sum_value_2_3,121.0
data_weekend_y_duration_sum_value_1_3w,121.0
complaints_complaints_workingh_y_total_nb_3m,121.0
data_workingh_n_volume_nb_1w,121.0
voice_workingh_n_duration_value_0_1m_1_3m,120.0
voice_call_direction_oc_duration_sum_value_2_3,120.0
payement_invoice_status_paid_pay_delay_should_value_0_1m_1_3m,119.0
data_workingh_y_duration_sum_value_1_3,118.0
data_workingh_n_volume_sum_value_2_3,117.0
voice_termination_type_offnet_duration_sum_value_1_2w,117.0
payement_invoice_status_paid_open_amount_nb_1m,117.0
payement_invoice_status_open_open_amount_sum_value_2_3,116.0
complaints_complaints_complaint_type_retention_total_sum_value_1_3w,115.0
voice_weekend_n_duration_value_0_1w_1_2w,112.0
data_workingh_n_volume_sum_value_1_2w,112.0
data_roamstate_nonroaming_volume_value_0_1m_1_2m,112.0
data_workingh_y_duration_value_0_1w_1_2w,110.0
voice_call_direction_oc_duration_value_0_1m_1_3m,110.0
data_workingh_n_volume_value_0_1m_1_3m,110.0
data_workingh_y_volume_value_0_1m_1_3m,108.0
data_workingh_n_volume_sum_value_1_3,107.0
data_workingh_y_volume_sum_value_1_2w,106.0
voice_weekend_n_duration_nb_1w,106.0
voice_termination_type_offnet_duration_sum_value_3_4w,104.0
voice_termination_type_onnet_duration_sum_value_1_3w,103.0
data_roamstate_nonroaming_duration_sum_value_1_2,102.0
complaints_complaints_workingh_y_duration_nb_3m,102.0
data_workingh_n_volume_sum_2w,102.0
voice_weekend_n_duration_value_0_1m_1_2m,100.0
payement_payment_mode_na_open_amount_sum_3m,100.0
data_workingh_y_volume_sum_value_3_4w,99.0
data_workingh_n_volume_sum_value_0_1w,99.0
data_workingh_n_volume_nb_2w,97.0
data_roamstate_nonroaming_volume_sum_value_1_3,95.0
payement_invoice_status_paid_pay_delay_should_value_0_1m_1_2m,95.0
data_workingh_n_volume_sum_1w,94.0
complaints_complaints_workingh_y_duration_value_0_1m_1_3m,94.0
complaints_complaints_complaint_status_resolu_total_sum_value_0_1,94.0
payement_payment_mode_cb_open_amount_nb_3m,92.0
voice_call_direction_oc_duration_value_1_3w_3_4w,92.0
